pregunta,respuesta
46) La heredabilidad de los rasgos permanece inalterada durante la ontogenia de los individuos (V ó F).,FALSO
47) Conocer la heredabilidad de un rasgo en particular no permite predecir cómo serán los individuos de la siguiente generación en ese rasgo particular (V ó F),VERDADERO
48) Los hombres se fijan más en el aspecto que las mujeres a la hora de conseguir pareja (V ó F).,VERDADERO
49) La heredabilidad es un concepto que sirve para poblaciones (V ó F).,VERDADERO
"51) Según la teoría de la selección sexual, el éxito reproductivo de los hombres depende fundamentalmente del número de parejas con las que pueda copular (V ó F).",VERDADERO
"51) Según la teoría de la selección sexual, el éxito reproductivo de los hombres depende fundamentalmente del número de parejas con las que pueda copular (V ó F).",VERDADERO
54) El lenguaje no pudo evolucionar por selección natural ya que la aparición del rasgo no habría brindado ventaja sobre el poseedor ya que sería posible si el rasgo hubiera sido común en las poblaciones. V / F.,FALSO
56) El rol de una cultura es de una magnitud tan importante en las sociedades humanas que carece de sentido evaluar sus estrategias de elección de pareja en el marco de la teoría evolutiva. V / F,FALSO
57) Los hombres más que las mujeres valorarán los recursos y la laboriosidad de su pareja. V / F,FALSO
58) Los machos más que las hembras deben evaluar la calidad de la pareja. V/ F,FALSO
"64) La ventaja de utilizar un modelo que compara la semejanza de rasgos comportamentales entre gemelos versus entre mellizos, se debe a que en ambas situaciones el grado de parentesco entre padres e hijos es el mismo. V / F",FALSO
"65) Absolutamente todas las civilizaciones conocidas, han desarrollado una lengua que sirve exactamente a los mismo propósitos en cada una de ellas. Además, hay hechos que se repiten en todas las lenguas: los conocidos universales lingüísticos, por ejemplo, todas las lenguas conocidas (vivas o muertas) tienen sustantivo y verbo. V / F",VERDADERO
"65) Lo que hoy tenemos como diversidad biológica viva, representa una parte infinitesimal del total de diversidad que alguna vez existió sobre la tierra. Solo tenemos acceso a una pequeña muestra y es difícil pensar en evolución del lenguaje, solo a partir de esa pequeña muestra (chimpancés y gorilas) y menos aún si pensamos bajos la teoría equivocada que considera que las variantes surgieron de forma encadenada (con los chimpancés dando origen a los humanos).",FALSO
"66) SEGÚN LA PSICOLOGÍA EVOLUTIVA, EL ORIGEN DE LA INFIDELIDAD ES DIFERENTE EN HOMBRES Y MUJERES  V O F",VERDADERO
"67) V o F. LA HEREDABILIDAD NO PUEDE CAMBIAR, EXCEPTO QUE SE CAMBIEN LOS INTEGRANTES DE LA POBLACIÓN DEL GRUPO DE ESTUDIO.",FALSO
68) V o F. UN VALOR DE HEREDABILIDAD ELEVADO PARA UN RASGO ANATÓMICO O FISIOLÓGICO EN PARTICULAR NOS PERMITE AFIRMAR QUE DICHO RASGO ESTA DETERMINADO GENÉTICAMENTE. NO ES POSIBLE LLEGAR A LA MISMA AFIRMACIÓN SI SE TRATA DE UN RASGO PSICOLÓGICO.,FALSO
"71) CUANDO SE LOGRA DESCUBRIR EL O LOS GENES INVOLUCRADOS EN UN RASGO DETERMINADO, AÚN TIENE SENTIDO ESTUDIAR EL VALOR DE HEREDABILIDAD DE DICHO RANGO V o F.",VERDADERO
"73) Si al seleccionar artificialmente para un rasgo comportamental, no se logran líneas de individuos diferenciados para dicha conducta, puedo considerar que la heredabilidad para dicho rasgo, en ese ambiente, es muy baja. V/ F.",FALSO
"74) El término determinación genética es una noción informal e intuitiva que no posee definición científica concreta, justamente porque parte del error conceptual de creer que un fenotipo puede ser causado por un genotipo V/ F.",VERDADERO
"75) La evaluación del origen del lenguaje, debe hacerse en todas aquellas formas de homínidos que existieron desde el momento en que suponemos se originó el protolenguaje, hasta la actualidad y como el lenguaje se fosiliza tenemos evidencias directas que permiten entender tanto su origen como evolución V/ F.",FALSO
"76) En la visión nativista, decir que el lenguaje no se aprende como cualquiera otra habilidad cognitiva, no quiere decir que se pueda prescindir del ambiente o que el aprendizaje no tenga rol alguno. Una de las primeras cuestiones que deberemos resolver es, que aspecto de la facultad del lenguaje se aprende de los aportes del ambiente y cuales surgen como producto de la actividad propia específica del cerebro (incluyendo la habilidad de aprender la partes que son aprendidas). V/ F",VERDADERO
78) Los experimentos con simios mostraron que la expresión del lenguaje parecía haberse desarrollado antes que la comprensión del mismo V/ F,VERDADERO
79) El experimento de Kanzi (bonobo) mostró que la única diferencia entre el hombre y los primates no humanos radica en el aparato fonador de allí que ellos no pueden tener habla. V/ F,FALSO
"80) Según Skinner, “el lenguaje es una capacidad exclusivamente humana”. V/ F",FALSO
81) El máximo logro en los experimentos con primates no humanos fue que asociaran palabras con símbolos en un teclado . V/F,FALSO
82) Si un rasgo tiene alta heredabilidad es inmodificable. V/ F,FALSO
49) La heredabilidad es un concepto que sirve para poblaciones (V ó F).,VERDADERO
"51) Según la teoría de la selección sexual, el éxito reproductivo de los hombres depende fundamentalmente del número de parejas con las que pueda copular (V ó F).",VERDADERO
"51) Según la teoría de la selección sexual, el éxito reproductivo de los hombres depende fundamentalmente del número de parejas con las que pueda copular (V ó F).",VERDADERO
54) El lenguaje no pudo evolucionar por selección natural ya que la aparición del rasgo no habría brindado ventaja sobre el poseedor ya que sería posible si el rasgo hubiera sido común en las poblaciones. V / F.,FALSO
19) Los períodos críticos sólo están presentes en humanos (V ó F),FALSO
20) El desarrollo de los comportamientos en humanos implica el uso de un modelo especial denominado “tabula rasa” por el cual nacemos sin pautas específicas y todos los cambios dependen del ambiente (V ó F).,FALSO
21) Un rasgo que se desarrolla mediante un proceso de maduración es posible de modificar mediante cambios del ambiente (V ó F).,VERDADERO
27) Los genes se mantienen invariables a lo largo del desarrollo. Sólo pueden ser modificados por efecto de mutaciones y el ambiente (V ó F).,FALSO
28) La lateralización en el uso de las manos coincide con áreas especializadas del lenguaje en el hemisferio izquierdo lo que indica que ambos están relacionados (V ó F).,VERDADERO